OrgID,FisYear,CDFlag,overall_score,econ_score,envrn_score,lenvrnmntl,corpgov_score,social_score,feeddate,fyenddate,Asset4Id,OrgName,BusTRBCId,PrimExchg,StatusFlag,OAId,tick,Cusip,Sedol,Isin
16597,2009,40000000000,0.95266038,0.94631665,0.94483021,,0.85897315,0.83167588,11/15/2020,12/31/2009,A4_00357,Ford Motor Company,5310,NYSE,1,4295903068,F,34537086,261546,US3453708600
16597,2008,40000000000,0.9552054,0.88432082,0.93023279,,0.935894,0.82051576,11/15/2020,12/31/2008,A4_00357,Ford Motor Company,5310,NYSE,1,4295903068,F,34537086,261546,US3453708600
16597,2010,40000000000,0.94426772,0.90552892,0.93532467,,0.86726655,0.83345322,11/15/2020,12/31/2010,A4_00357,Ford Motor Company,5310,NYSE,1,4295903068,F,34537086,261546,US3453708600
16597,2007,40000000000,0.95465179,0.86271304,0.94162486,,0.86360489,0.92902113,11/15/2020,12/31/2007,A4_00357,Ford Motor Company,5310,NYSE,1,4295903068,F,34537086,261546,US3453708600
16597,2006,40000000000,0.97609993,0.93087943,0.96755046,,0.92786415,0.96146113,11/15/2020,12/31/2006,A4_00357,Ford Motor Company,5310,NYSE,1,4295903068,F,34537086,261546,US3453708600
16597,2005,40000000000,0.966433,0.78873619,0.96969767,,0.90199969,0.95301696,11/15/2020,12/31/2005,A4_00357,Ford Motor Company,5310,NYSE,1,4295903068,F,34537086,261546,US3453708600
18198,2020,40000000000,0.95956792,0.94442641,,,0.73131806,0.83454789,11/15/2020,,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2018,40000000000,0.87715686,0.71263663,0.94605386,,0.68709585,0.71550573,11/15/2020,12/31/2018,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2017,40000000000,0.94975419,0.92444691,0.95420596,,0.93005249,0.86392785,11/15/2020,12/31/2017,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2016,40000000000,0.94706218,0.85137526,0.95325334,,0.96232525,0.87074813,11/15/2020,12/31/2016,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2012,40000000000,0.91355319,0.66492315,0.92811561,,0.92434989,0.82260433,11/15/2020,12/31/2012,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2011,40000000000,0.94757952,0.85838299,0.93977715,,0.90220328,0.90062903,11/15/2020,12/31/2011,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2014,40000000000,0.92586171,0.77408268,0.9473494,,0.95814798,0.72925667,11/15/2020,12/31/2014,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2010,40000000000,0.92581188,0.61009078,0.93507945,,0.94300288,0.91144209,11/15/2020,12/31/2010,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2013,40000000000,0.94718207,0.85761422,0.94563675,,0.89548155,0.86560416,11/15/2020,12/31/2013,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2009,40000000000,0.89695148,0.69235276,0.93209691,,0.77425038,0.79759825,11/15/2020,12/31/2009,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2008,40000000000,0.88938072,0.53590065,0.9236018,,0.93552651,0.73838197,11/15/2020,12/31/2008,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2019,40000000000,0.95086744,0.94415996,,,0.655677,0.83369996,11/15/2020,,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2007,40000000000,0.83499215,0.8727541,0.90985847,,0.73879544,0.40276691,11/15/2020,12/31/2007,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2006,40000000000,0.84495376,0.45336089,0.93195934,,0.86425415,0.65776142,11/15/2020,12/31/2006,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2004,40000000000,0.97092116,0.92878515,0.92128062,,0.94538505,0.87742133,11/15/2020,12/31/2004,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2002,40000000000,0.96852239,0.78561567,0.91628567,,0.94706786,0.93892705,11/8/2020,12/31/2002,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2003,40000000000,0.96061226,0.67315348,0.9353479,,0.95381544,0.93271363,11/8/2020,12/31/2003,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2015,40000000000,0.9131242,0.56809442,0.95055316,,0.94391727,0.91885076,11/15/2020,12/31/2015,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18198,2005,40000000000,0.96145217,0.84034855,0.9556125,,0.88912497,0.87189926,11/15/2020,12/31/2005,A4_00164,Boeing Co,5210,NYSE,1,4295903076,BA,9702310,210860,US0970231058
18243,2019,40000000000,0.65180161,0.09192814,0.90116771,,0.476681,0.85756046,11/15/2020,12/31/2019,A4_00108,Pfizer Inc.,5620,NYSE,1,4295904722,PFE,71708110,268470,US7170811035
18243,2020,40000000000,0.63740553,0.06968329,,,0.49395191,0.83255105,11/15/2020,,A4_00108,Pfizer Inc.,5620,NYSE,1,4295904722,PFE,71708110,268470,US7170811035
18243,2017,40000000000,0.88771967,0.73046554,0.90889225,,0.68328858,0.90902333,11/15/2020,12/31/2017,A4_00108,Pfizer Inc.,5620,NYSE,1,4295904722,PFE,71708110,268470,US7170811035
